dataset,component,mode,n_vectors,cos_mean,cos_median,cos_p25,cos_p75,pca_path,evr
gsm_mc,0,chosen,100,-0.0975225567817688,-0.1186443418264389,-0.24134068191051483,0.05085583031177521,archive/pca_from_sweep/pca_gsm_mc_eps0.1_shared_flip_k20.pt,0.12363162636756897
math_mc,0,chosen,100,0.02064354717731476,0.01806921511888504,-0.07726462185382843,0.1172240823507309,archive/pca_from_sweep/pca_math_mc_eps0.1_shared_flip_k20.pt,0.08548372238874435
mmlu,0,chosen,100,-0.10061157494783401,-0.16491743922233582,-0.24153438210487366,-0.024302668869495392,archive/pca_from_sweep/pca_mmlu_eps0.1_shared_flip_k20.pt,0.11126913130283356
bbq,0,chosen,100,0.023072369396686554,0.01730656437575817,-0.20059159398078918,0.25785911083221436,archive/pca_from_sweep/pca_bbq_eps0.1_shared_flip_k20.pt,0.18924733996391296
sgxs,0,chosen,100,0.15418891608715057,0.2640952467918396,0.014866504818201065,0.3619261682033539,archive/pca_from_sweep/pca_sgxs_eps0.1_shared_flip_k20.pt,0.24169433116912842
